Раздел A;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;
Подраздел AА;;ПРОДУКЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА, ОХОТЫ И ЛЕСНОГО ХОЗЯЙСТВА;
01.21.320;"Литр; кубический дециметр";Сырое молоко прочего крупного рогатого скота;G
01.21.410;"Литр; кубический дециметр";Бычья сперма;G
01.21.990;;Прочие виды товаров, относящиеся к группировке 01.21.000;G
01.22.000;;Живые овцы, козы, лошади, ослы, мулы и лошаки и продукция их разведения;
01.22.110;Голова;Чистопородные племенные овцы;G
01.22.120;Голова;Взрослые овцы тонкорунных пород, кроме чистопородных племенных;G
01.22.130;Голова;Взрослые овцы тонкорунных пород на откорме;G
01.22.140;Голова;Молодняк овец тонкорунных пород всех возрастов, кроме молодняка чистопородных племенных;G
01.22.150;Голова;Взрослые овцы полутонкорунных пород, кроме чистопородных племенных;G
01.22.160;Голова;Взрослые овцы полутонкорунных пород на откорме;G
01.22.170;Голова;Молодняк овец полутонкорунных пород всех возрастов, кроме молодняка чистопородных племенных овец полутонкорунных пород;G
01.22.180;Голова;Взрослые овцы полугрубошерстных пород, кроме взрослых чистопородных племенных овец полугрубошерстных пород;G
01.22.210;Голова;Взрослые овцы полугрубошерстных пород на откорме;G
01.22.220;Голова;Молодняк овец полугрубошерстных пород всех возрастов, кроме молодняка чистопородных племенных овец полугрубошерстных пород;G
01.22.230;Голова;Взрослые овцы грубошерстных пород, кроме взрослых чистопородных племенных овец грубошерстных пород;G
01.22.240;Голова;Взрослые овцы грубошерстных пород на откорме;G
01.22.250;Голова;Молодняк овец грубошерстных пород всех возрастов, кроме молодняка чистопородных племенных овец грубошерстных пород;G
01.22.260;Голова;Дикие животные рода баранов;G
01.22.310;Голова;Чистопородные племенные козы;G
01.22.320;Голова;Взрослые козы, кроме чистопородных племенных коз;G
01.22.330;Голова;Молодняк коз всех возрастов, кроме молодняка чистопородных племенных коз;G
01.22.340;Голова;Дикие козы;G
01.22.410;Голова;Взрослые чистопородные племенные лошади;G
01.22.420;Голова;Чистопородный племенной молодняк лошадей;G
01.22.430;Голова;Взрослые пользовательные лошади, кроме убойных;G
01.22.440;Голова;Молодняк пользовательных лошадей, кроме убойных;G
01.22.450;Голова;Убойные лошади;G
01.22.460;Голова;Пони;G
01.22.470;Голова;Чистопородные племенные ослы;G
01.22.480;Голова;Ослы, кроме чистопородных племенных;G
01.22.510;Голова;Мулы и лошаки;G
01.22.520;Голова;Дикие лошади, ослы, мулы и лошаки;G
01.22.540;"Литр; кубический дециметр";Сырое овечье молоко;G
01.22.550;"Литр; кубический дециметр";Сырое козье молоко;G
01.22.610;Тонна;Немытая стриженая шерсть, включая стриженую шерсть, промытую руном, не подвергнутая кардо- или гребнечесанию;G
