code;measure;name;level;parent;type
01.50.140;;Услуги по охране и воспроизводству диких животных;6;01.50.000;S
01.50.150;;Услуги по поддержанию численности животных на оптимальном уровне;6;01.50.000;S
01.50.990;;Прочие виды услуг, относящиеся к группировке 01.50.000;6;01.50.000;S
02;;Продукция лесоводства, лесозаготовок и связанные с этим услуги;3;Подраздел AА;
02.0;;Продукция лесоводства, лесозаготовок и связанные с этим услуги;4;02;
02.01.000;;Необработанная древесина; природные смолы; натуральная пробка; прочая продукция лесоводства; услуги лесопитомников;5;02.0;
02.01.110;Тысяча кубических метров;Круглые лесоматериалы хвойных пород для распиловки;6;02.01.000;G
02.01.120;Тысяча кубических метров;Круглые лесоматериалы хвойных пород для лущения и строгания;6;02.01.000;G
02.01.130;Тысяча кубических метров;Круглые лесоматериалы хвойных пород для производства целлюлозы и древесной массы и технологическая щепа;6;02.01.000;G
02.01.140;Тысяча кубических метров;Круглые лесоматериалы хвойных пород прочего назначения;6;02.01.000;G
02.01.160;Тысяча кубических метров;Круглые лесоматериалы лиственных пород для распиловки;6;02.01.000;G
02.01.170;Тысяча кубических метров;Круглые лесоматериалы лиственных пород для лущения и строгания;6;02.01.000;G
02.01.180;Тысяча кубических метров;Круглые лесоматериалы лиственных пород для производства целлюлозы и древесной массы и технологическая щепа;6;02.01.000;G
02.01.210;Тысяча кубических метров;Круглые лесоматериалы лиственных пород прочего назначения;6;02.01.000;G
02.01.230;Тысяча кубических метров;Круглые лесоматериалы тропических пород для распиловки;6;02.01.000;G
02.01.240;Тысяча кубических метров;Круглые лесоматериалы тропических пород для лущения и строгания;6;02.01.000;G
02.01.260;Тысяча кубических метров;Топливная древесина в виде бревен (дрова-долготье);6;02.01.000;G
02.01.270;Тонна;Топливная древесина в виде поленьев, вязанок хвороста (разделанные дрова);6;02.01.000;G
02.01.280;Тонна;Топливная щепа;6;02.01.000;G
02.01.320;Тысяча кубических метров;Бондарная древесина;6;02.01.000;G
02.01.330;Кубический метр;Грубообтесанные лесоматериалы для производства тростей, зонтов, ручек инструментов и аналогичных изделий;6;02.01.000;G
02.01.340;Кубический метр;Заостренные сваи, колья и столбы;6;02.01.000;G
02.01.350;Кубический метр;Лущеная древесина;6;02.01.000;G
02.01.410;Тонна;Балата, гуттаперча, гуаюль, чикл и аналогичные природные смолы;6;02.01.000;G
02.01.420;Тонна;Природный неочищенный шеллак;6;02.01.000;G
