Номер	ФИО	Фамилия	Имя	Отчество	Пол (0 - муж, 1 - жен)	Дата рождения	Организация	Должность
73	Дергунова Ольга Константиновна	Дергунова	Ольга	Константиновна	1	1965	ОАО Банк ВТБ	Член Правления
74	Дубинский Андрей Юрьевич	Дубинский	Андрей	Юрьевич	0	1960	Группа компаний БДО «Юникон»	Генеральный директор
75	Задорнов Михаил Михайлович	Задорнов	Михаил	Михайлович	0	1963	ЗАО «ВТБ 24»	Президент-Председатель Правления
76	Ивлев Александр Владимирович	Ивлев	Александр	Владимирович	0	1967	«Эрнст энд Янг (СНГ) Б.В.»	Партнер, член Совета директоров компании в СНГ
77	Изосимов  Александр Вадимович	Изосимов	Александр	Вадимович	0	1964	ОАО «ВымпелКом»	Генеральный директор
78	Козицин Андрей Анатольевич 	Козицин	Андрей	Анатольевич	0	1960	ООО «УГМК – Холдинг» 	Генеральный директор
79	Медников Дмитрий Юрьевич	Медников	Дмитрий	Юрьевич	0	1980	Главная редакция ЭСМИ «Российский Информационный канал»  	Главный редактор
80	Меламед Леонид Адольфович	Меламед	Леонид	Адольфович	0	1967	ОАО АФК «Система»	Президент
81	Меньщиков Владислав Владимирович	Меньщиков	Владислав	Владимирович	0	1959	ОАО «Концерн ПВО «Алмаз-Антей» 	Генеральный директор
82	Мишустин Михаил Владимирович	Мишустин	Михаил	Владимирович	0	1966	UFG Asset Management	Президент
83	Москаленко Алексей Анатольевич	Москаленко	Алексей	Анатольевич	0	1981	ООО «ЛЛК Интернешнл»	Зам. начальника Управления правового обеспечения
84	Перцовский Александр Наумович	Перцовский	Александр	Наумович	0	1968	Инвестиционная компания «Ренессанс капитал»	Председатель Правления
85	Плешакова Ольга Александровна	Плешакова	Ольга	Александровна	1	1965	Авиакомпания «Трансаэро»	Генеральный директор
86	Попова Татьяна Юрьевна	Попова	Татьяна	Юрьевна	1	1972	Государственная корпорация – Фонд содействия реформированию ЖКХ 	Зам. генерального директора – руководитель Аппарата Фонда
87	Рашевский Владимир Валерьевич	Рашевский	Владимир	Валерьевич	0	1973	Сибирско-уральская энергетическая компания («СУЭК»)	Генеральный директор и Председатель Правления
88	Хасис Лев Аронович	Хасис	Лев	Аронович	0	1966	X5 Retail Group N.V.	Главный исполнительный директор, Председатель Правления
89	Шахов Олег Федорович	Шахов	Олег	Федорович	0	1969	ЗАО «Центр управленческих, экономических и правовых инициатив «Стратегия»	Вице-президент
90	Юдаева Ксения Валентиновна	Юдаева	Ксения	Валентиновна	1	1970	Сбербанк России	Главный экономист
91	Юрьев Евгений Леонидович	Юрьев	Евгений	Леонидович	0	1971	Инвестиционная группа «Атон»	Президент
92	Волков Андрей Евгеньевич	Волков	Андрей	Евгеньевич	0	1960	Московская школа управления «Сколково»	Ректор
93	Вербицкий Владимир Константинович	Вербицкий	Владимир	Константинович	0	1959	Российский институт директоров	Первый заместитель директора
94	Дьякова Елена Григорьевна	Дьякова	Елена	Григорьевна	1	1965	Общественная палата РФ, Институт философии и права Уральского отделения РАН	Ведущий научный сотрудник
95	Гуриев Сергей Маратович	Гуриев	Сергей	Маратович	0	1971	Российская экономическая школа	Ректор
96	Ливанов Дмитрий Викторович	Ливанов	Дмитрий	Викторович	0	1967	Московский институт стали и сплавов	Ректор
97	Матишов Дмитрий Геннадьевич	Матишов	Дмитрий	Геннадьевич	0	1966	Южный научный центр РАН, Южный федеральный университет	Заместитель председателя, заведующий кафедрой океанологии
98	Миронюк Светлана Васильевна	Миронюк	Светлана	Васильевна	1	1968	ФГУП РАМИ РИА «Новости»	Главный редактор
99	Назаров Владимир Станиславович	Назаров	Владимир	Станиславович	0	1982	Институт экономики переходного периода	Заведующий лабораторией бюджетного федерализма
100	Урличич Юрий Матэвич	Урличич	Юрий	Матэвич	0	1962	Российский НИИ космического приборостроения	Генеральный директор – генеральный конструктор
